Code,Title,Size,Style,Country,Group,Available,Price (inc VAT),Price (ex-VAT),Link
HED1067,La Tache DRC 2001,75cl,Red,France,Burgundy,1,7000.0,5600.0,http://default/product/la-tache-drc-2001
HED10760,Royal Combier Grande Liqueur,70cl,Spirits,France,"Liqueurs, Bitters & Other",2,29.9,23.92,http://default/product/royal-combier-grande-liqueur
HED1165,Montrachet DRC 2009,75cl,White,France,Burgundy,1,13200.0,10560.0,http://default/product/montrachet-drc-2009
HED1192,Musigny de Vogue 2008,75cl,Red,France,Burgundy,4,1000.0,800.0,http://default/product/musigny-de-vogue-2008
HED1202,Musigny de Vogue 2010,75cl,Red,France,Burgundy,1,1380.0,1104.0,http://default/product/musigny-de-vogue-2010
HED1260,Puligny Montrachet Les Pucelles Domaine Leflaive 2010,75cl,White,France,Burgundy,7,812.0,649.6,http://default/product/puligny-montrachet-les-pucelles-domaine-leflaive-2010
HED1342,Vosne Romanee Duvault Blochet DRC 1999,75cl,Red,France,Burgundy,3,3000.0,2400.0,http://default/product/vosne-romanee-duvault-blochet-drc-1999
HED14607,Glenfarclas 25 Year Old,70cl,Spirits,Scotland,Whisky,10,225.0,180.0,http://default/product/glenfarclas-25-year-old-whisky
HED14691,Glenfarclas 105 Cask Strength,70cl,Spirits,Scotland,Whisky,11,73.0,58.4,http://default/product/glenfarclas-105-cask-strength-whisky
HED1582,Masseto 2005,75cl,Red,Italy,Italy,3,1110.0,888.0,http://default/product/masseto-2005
