code,title,size,style,country,type,availability,price_gbp
HED21593,Kavalan Solist Vinho Barrique 57.1%,70cl,Spirits,"Taiwan, Province of China",Whisky,7.0,215.0
HED24882,French Bloom Le Rose Alcohol Free,75cl,Rose,France,Non-Alcoholic Wines,7.0,35.0
HED96511,Pagos Viejos Artadi Magnum 2005,150cl,Red,Spain,Spain,2.0,120.0
HED24922,Stodden Recher Spatburgunder 2021,75cl,Red,Germany,Germany,5.0,53.0
HED96521,Chateauneuf du Pape Beaucastel Half 2004,37.5cl,Red,France,Southern Rhone,13.0,50.0
HED24936,Chablis St Pierre d`Henri 2022,75cl,White,France,Burgundy,48.0,36.20000076293945
HED47070,Lagg Corriecravie Sherry Finish,70cl,Spirits,Scotland,Whisky,4.0,68.5
HED96610,Domaine de Chevalier 1988,75cl,Red,France,Bordeaux,11.0,100.0
HED96649,Pinot Gris Zind Humbrecht 1989,75cl,White,France,Alsace,2.0,62.5
HED96670,Pagos Viejos Artardi 1997,75cl,Red,Spain,Spain,6.0,88.19999694824219
HED24956,Barolo Riserva Bersano 1978,75cl,Red,Italy,Italy,2.0,100.0
HED21664,Fuenteseca Extra Anejo Reserva 5 Year Old 2015,75cl,Spirits,Mexico,Tequila,3.0,255.0
ZTAST458,Domaine Vacheron Tasting - Monday 8th April 2024 - 18.30 - 20.30,0cl,Other,France,Tastings & Events,10.0,75.0
HED24984,By Farr Tout Pres Pinot Noir 2021,75cl,Red,Australia,Australia,6.0,102.0
HED96827,Cote Rotie Les Jumelles Jaboulet 1999,75cl,Red,France,Northern Rhone,9.0,70.0
HED96883,Louis Roederer Collection 244,75cl,White,France,Champagne,73.0,58.0
HED96928,Chianti Classico Riserva Ducale Ruffino 1969,75cl,Red,Italy,Italy,5.0,75.0
HED96939,Catena Zapata Malbec Argentino Half 2020,37.5cl,Red,Argentina,Argentina,32.0,45.0
HED96984,Chateauneuf du Pape Cristia 2005,75cl,Red,France,Southern Rhone,9.0,50.0
HED26605,Valentin Leflaive Extra Brut Blanc de Blancs CV1830,75cl,White,France,Champagne,5.0,60.0
