code,title,size,style,country,type,availability,price_gbp,import_date,url
HED45161,The Gauldrons,70cl,Spirits,Scotland,Whisky,6.0,49.5,2024-03-28,https://hedonism.co.uk/product/the-gauldrons-whisky
HED45122,Laphroaig Cairdeas Feis Ile 2018,70cl,Spirits,Scotland,Whisky,6.0,185.0,2024-03-28,https://hedonism.co.uk/product/laphroaig-cairdeas-feis-ile-2018-whisky
HED45086,Isle of Raasay Single Malt,70cl,Spirits,Scotland,Whisky,7.0,54.9,2024-03-28,https://hedonism.co.uk/product/isle-of-raasay-single-malt-whisky
HED45067,Highland Park Cask Strength Release 2,70cl,Spirits,Scotland,Whisky,12.0,56.9,2024-03-28,https://hedonism.co.uk/product/highland-park-cask-strength-release-2-whisky
HED4503,Glengoyne 12 Year Old,70cl,Spirits,Scotland,Whisky,21.0,44.9,2024-03-28,https://hedonism.co.uk/product/glengoyne-12-year-old-whisky
HED44057,Torabhaig Legacy Series Allt Gleann,70cl,Spirits,Scotland,Whisky,13.0,50.0,2024-03-28,https://hedonism.co.uk/product/torabhaig-legacy-series-allt-gleann-whisky
HED43093,Reisetbauer & Son 12 Year Old Single Malt Whisky,70cl,Spirits,Austria,Whisky,4.0,75.0,2024-03-28,https://hedonism.co.uk/product/reisetbauer-&-son-12-year-old-single-malt-whisky-whisky
HED4305,Glendronach 21 Year Old Parliament,70cl,Spirits,Scotland,Whisky,58.0,225.0,2024-03-28,https://hedonism.co.uk/product/glendronach-21-year-old-parliament-whisky
HED4303,Glendronach 12 Year Old,70cl,Spirits,Scotland,Whisky,33.0,48.2,2024-03-28,https://hedonism.co.uk/product/glendronach-12-year-old-whisky
HED43005,Singleton 12 Year Old,70cl,Spirits,Scotland,Whisky,7.0,43.5,2024-03-28,https://hedonism.co.uk/product/singleton-12-year-old-whisky
HED4278,An Cnoc 12 Year Old,70cl,Spirits,Scotland,Whisky,3.0,36.0,2024-03-28,https://hedonism.co.uk/product/an-cnoc-12-year-old-whisky
HED42058,Adnams 7 Year Old Batch 1 TBWC,50cl,Spirits,England,Whisky,4.0,36.0,2024-03-28,https://hedonism.co.uk/product/adnams-7-year-old-batch-1-tbwc-whisky
HED41043,Filey Bay Flagship,70cl,Spirits,England,Whisky,3.0,50.5,2024-03-28,https://hedonism.co.uk/product/filey-bay-flagship-whisky
HED41009,Laphroaig 25 Year Old Cask Strength,70cl,Spirits,Scotland,Whisky,20.0,460.0,2024-03-28,https://hedonism.co.uk/product/laphroaig-25-year-old-cask-strength-whisky
HED40759,Aberlour 14 Year Old,70cl,Spirits,Scotland,Whisky,6.0,59.9,2024-03-28,https://hedonism.co.uk/product/aberlour-14-year-old-whisky
HED40507,Nikka Tailored,70cl,Spirits,Japan,Whisky,9.0,113.0,2024-03-28,https://hedonism.co.uk/product/nikka-tailored-whisky
HED40486,East London Liquor Company London Rye,70cl,Spirits,England,Whisky,6.0,59.5,2024-03-28,https://hedonism.co.uk/product/east-london-liquor-company-london-rye-whisky
HED40446,Laphroaig 30 Year Old Ian Hunter Story Book 2,70cl,Spirits,Scotland,Whisky,2.0,1900.0,2024-03-28,https://hedonism.co.uk/product/laphroaig-30-year-old-ian-hunter-story-book-2-whisky
HED40295,GlenAllachie 15 Year Old,70cl,Spirits,Scotland,Whisky,7.0,69.0,2024-03-28,https://hedonism.co.uk/product/glenallachie-15-year-old-whisky
HED40141,Macallan 18 Year Old Double Cask,70cl,Spirits,Scotland,Whisky,19.0,301.0,2024-03-28,https://hedonism.co.uk/product/macallan-18-year-old-double-cask-whisky
HED40140,Macallan 15 Year Old Double Cask,70cl,Spirits,Scotland,Whisky,29.0,145.0,2024-03-28,https://hedonism.co.uk/product/macallan-15-year-old-double-cask-whisky
HED3176,Dalmore King Alexander III,70cl,Spirits,Scotland,Whisky,49.0,195.0,2024-03-28,https://hedonism.co.uk/product/dalmore-king-alexander-iii-whisky
HED3175,Dalmore 18 Year Old,70cl,Spirits,Scotland,Whisky,18.0,275.0,2024-03-28,https://hedonism.co.uk/product/dalmore-18-year-old-whisky
HED3173,Dalmore 15 Year Old,70cl,Spirits,Scotland,Whisky,27.0,103.0,2024-03-28,https://hedonism.co.uk/product/dalmore-15-year-old-whisky
HED3172,Dalmore 12 Year Old,70cl,Spirits,Scotland,Whisky,23.0,56.9,2024-03-28,https://hedonism.co.uk/product/dalmore-12-year-old-whisky
